Time,Comment,Scramble,Date
21.167752027511597,"",L F2 R2 B' L' D L U2 L B2 U' R2 F2 R D2 L2 B2 U2,2025-01-21 11:24:54 +0000
23.53351104259491,"",F2 D' F' B2 L U' R2 D2 L' D B2 R2 B2 L2 D2 B2 F,2025-01-28 11:29:32 +0000
24.80090606212616,"",D F2 B R B L2 D B2 U2 L' D2 R' F2 B2 R2 D2 L' B R',2025-01-17 18:08:23 +0000
35.868698954582214,"Big flop bro",B2 U' R2 D2 R2 F2 D' L2 R U F' L R' U2 F' U L' F2 R,2025-01-17 18:16:54 +0000
21.535964012145996,"",U2 L2 R2 F' L2 D2 L2 U F' U2 L B2 D2 U B R B2 F',2025-01-19 17:13:23 +0000
19.53251302242279,"",U L2 F' U F' R' D2 B D' F' U2 L' U2 R' F2 U2 B2 U2 L2 F2,2025-01-21 16:17:48 +0000
19.06228506565094,"",F B' D2 B U F2 R2 D2 L' F D R2 U D' R2 L2 F2 D L,2025-01-28 14:49:31 +0000
21.672644019126892,"",R F R2 U' F2 D2 L' B2 U' D F R U2 D2 L' U2 F2 R L',2025-01-19 11:16:06 +0000
27.36832296848297,"",B U' L' B R2 F2 D2 L' F B2 U2 F L2 F' U2 B' L2 U2 L2 U,2025-01-09 12:15:42 +0000
28.634699940681458,"",R U2 R' D2 R2 F2 U2 L B2 D' F' R B' U2 F2 D2 U R D' F',2025-01-24 08:19:55 +0000
6.196914911270142,"",F2 U B D' R2 U L2 U B2 D F2 L2 U' R' F U2 L2 B' L2 R2,2025-01-29 07:51:33 +0000
24.40151798725128,"",R' U2 L2 B' R2 D2 R2 F' D2 F2 U' F U L D' R' D U' F',2025-01-13 07:17:37 +0000
16.93212401866913,"",B2 U' F2 R2 B2 U2 L2 F D' F2 L' R2 U R' B' D' U F U',2025-01-24 14:48:25 +0000
30.000084042549133,"Ptn j’ai foiré toute la croix …",D2 B' F' R2 U2 L2 U2 F2 U' B U B2 F R D' U L D' B',2025-01-19 11:22:07 +0000
25.404787063598633,"",L' D' L2 D2 B' U' F' L' D' R L F2 D2 R' F2 R B,2025-01-19 11:35:09 +0000
24.29647207260132,"",L2 B' L' U D2 F R F' D' R' U2 D2 B2 U2 R B2 U2 R F2,2025-01-14 14:12:19 +0000
19.00071108341217,"",R B2 R' F R2 B R' D' L U B U2 R' B2 D2 F2 B2 R B2,2025-01-29 11:36:36 +0000
19.9658260345459,"",U' L' F L2 U F' L' B' L2 F R2 F2 U2 B U2 B R2 L D,2025-01-20 11:31:11 +0000
25.600483059883118,"",R U L D R' F U F2 B2 D2 F2 L F2 L2 B' L U R,2025-01-27 06:16:25 +0000
18.99640190601349,"",B' L2 D2 U2 B' D2 R2 L D F D F D2 F2 D U2 F R',2025-01-30 08:52:42 +0000
21.13123905658722,"",L2 B' D2 B2 F D2 L2 B' U2 L' U' F2 D' R D2 B' R' D2 L,2025-01-17 17:58:38 +0000
23.92578899860382,"",R F L2 D R F2 B R2 U' R' F2 U' L2 D' F2 B2 L2 F2,2025-01-17 05:58:22 +0000
25.932618021965027,"",R2 U2 R' U2 L' R' U2 B2 U2 L' D' F U' L' B' L2 F U R',2025-01-20 11:41:09 +0000
23.801456928253174,"",B' R2 D B' U F2 B' L' F' U F U B2 D' R2 U D' L2 B2,2025-01-27 06:26:52 +0000
21.20087194442749,"",F D2 F' R2 B' F2 D2 F' D' L' D L2 U L2 F R' U' F' L2,2025-01-17 18:17:47 +0000
22.633378982543945,"",B2 D2 R2 B2 D2 L B2 R' D B' L F2 U F L B F2,2025-01-20 11:22:53 +0000
