,Time,Comment,Scramble,Date
35,20.63392293453217,,F' U' L2 F2 L U R' F U2 F' L B2 U' D2 R2 U' F2 L2,2025-01-19 17:12:25 +0000
98,21.535964012146,,U2 L2 R2 F' L2 D2 L2 U F' U2 L B2 D2 U B R B2 F',2025-01-19 17:13:23 +0000
223,24.83480405807495,,L D2 L2 F2 D2 L' B2 L' B R2 D' L D2 L2 R' F' R U' B',2025-01-19 17:14:06 +0000
165,33.135794043540955,,L2 B' D2 B' F2 D2 F' U2 L R U B R U L B' F' U2,2025-01-19 17:15:06 +0000
224,23.802162051200867,,F D F L2 B' U2 R2 U2 L2 B U' R D2 L F' D' B2 D U,2025-01-19 17:16:10 +0000
170,20.499667048454285,,R' B' D' F2 L' B2 L2 R B2 L2 U L B2 L D' F' U' B2,2025-01-19 17:17:02 +0000
264,22.967085003852844,,L2 B D F U2 L2 B' L2 R2 F D2 L2 F2 R' F2 U' L2 U' R2,2025-01-19 17:17:59 +0000
47,20.50088405609131,,B' U' B' D2 L' D2 L F2 U2 F2 D' L' D2 U F' D B2 F,2025-01-19 17:18:46 +0000
85,20.901190996170044,,U' L U' D' L' D2 B' U R2 U' F2 U' R2 U2 B2 U' R F2,2025-01-19 17:19:37 +0000
14,25.16758704185486,,D2 B2 D2 B' L2 B2 U2 F' R2 F2 D' L' F' U' R' B' L2 B F2 D2,2025-01-19 17:21:39 +0000
192,18.133169054985046,,R' L2 D L U2 D F R' U D' F2 D2 L2 F2 L F2 R' B2 L,2025-01-20 08:56:03 +0000
90,20.765141010284424,,F2 U L U2 D' F' L2 U F2 B' R U' L2 U' R2 U B2 D,2025-01-20 08:58:05 +0000
157,21.984591960906982,F*cking n perm,F' D F R2 U' L2 B' R2 U' L' B' L2 F U2 L2 F L2 D,2025-01-20 09:00:44 +0000
10,21.76714599132538,,R' F' U D2 R' U2 L' R2 F2 L' D2 R2 F' L D' B2 U2 F L',2025-01-20 09:02:07 +0000
232,25.167850971221924,,R2 B R' L D' R U2 B' L' B' D F2 D L2 F2 R2 D2 B,2025-01-20 09:02:54 +0000
123,23.5222190618515,,B2 U2 F2 L B2 L' R' D2 F2 R D' B F' L2 U L D B2 F' U,2025-01-20 10:01:06 +0000
268,21.63470196723938,,R' B2 L2 U' F2 U2 L2 F R2 U2 R' B2 L' B2 L2 B2 L' U2 F,2025-01-20 10:02:08 +0000
80,19.532629013061523,,R' L U' B U D F2 U D2 F2 R' L2 F2 D2 R2 B2 U F2,2025-01-20 11:21:43 +0000
119,22.633378982543945,,B2 D2 R2 B2 D2 L B2 R' D B' L F2 U F L B F2,2025-01-20 11:22:53 +0000
52,18.4673810005188,,L B2 L B L2 B' U' F' L' B' D B2 L U2 L U2 R2 F2,2025-01-20 11:23:50 +0000
213,22.068140029907227,,L2 D' L' F2 L U2 B2 R B2 L' F' U2 B2 U' L2 D L' F,2025-01-20 11:24:53 +0000
251,21.88150894641876,,F D' L2 B2 L2 U2 B2 U2 F L2 R F' U' F' L2 D' L R2 F2,2025-01-20 11:26:17 +0000
286,19.26572692394257,,D L B' F2 D2 R2 U2 R2 B R U2 B L2 F' U' B2 F' R,2025-01-20 11:27:25 +0000
36,23.26898205280304,,D F2 U L2 U' R2 F2 U' R' D L' D2 F2 L U' B' D F2 L',2025-01-20 11:28:53 +0000
70,19.3663330078125,,R' D' L2 U2 F L2 D2 R2 D2 L U R' B' D2 B2 R2 U2 L2,2025-01-20 11:30:02 +0000
111,19.9658260345459,,U' L' F L2 U F' L' B' L2 F R2 F2 U2 B U2 B R2 L D,2025-01-20 11:31:11 +0000
145,17.132524967193604,,F2 D2 U F2 L2 D' B2 L' B R2 F2 U' L F' D R2 B D',2025-01-20 11:32:24 +0000
184,16.999815940856934,,F' L2 F2 U L2 D' R2 F2 U F2 L' B L' D2 L2 R B R F2 L',2025-01-20 11:33:15 +0000
218,19.20187890529633,,R' D2 L' F L' R B2 D2 R' D2 F2 D L U F2 R' U,2025-01-20 11:34:54 +0000
255,21.699510097503666,,L2 R' F2 L' U2 L2 D2 L' U' B D' U' F2 U2 F' U2 L D L,2025-01-20 11:37:16 +0000
2,20.467184901237488,,F' D2 R2 U B2 L2 R2 D2 B L' F2 R2 D F D' L' D' R,2025-01-20 11:38:04 +0000
40,22.23350203037262,,R2 F2 R2 D U2 F2 D F2 R2 U' L' B U2 R2 D' U R' F2,2025-01-20 11:39:18 +0000
76,22.73331904411316,,R U' F2 D2 F' R2 D2 B R2 F U' F L' B L' F L R2,2025-01-20 11:40:05 +0000
116,25.932618021965027,,R2 U2 R' U2 L' R' U2 B2 U2 L' D' F U' L' B' L2 F U R',2025-01-20 11:41:09 +0000
151,21.901463985443115,,U2 L2 F2 L2 B' F' U L D U B2 R' B2 L2 U' L U,2025-01-20 11:42:09 +0000
188,21.73493492603302,,R' F2 U L2 F' D2 R2 B2 F' L2 R2 D B' U F D L',2025-01-20 11:43:24 +0000
225,22.866025924682617,,B2 R2 B2 U2 R2 U2 L2 B F2 U F2 U' R2 D L' R' F2,2025-01-20 11:44:40 +0000
261,20.96576297283173,,D' F2 U2 R2 F U2 R2 F2 L B R U F D' U2 L B2 L2,2025-01-20 11:46:32 +0000
7,27.56722104549408,,F R' L2 U L U2 B R U L2 F' R' L2 F2 U2 D2,2025-01-20 12:40:12 +0000
44,19.268229961395264,,U2 L2 F2 R2 F' U2 L2 R2 B' R' B L' R' D B2 L B R U' R,2025-01-20 12:41:25 +0000
81,21.267669081687927,,U2 R' D2 L U2 L' F2 L2 D2 F2 U R2 B R U2 F R2 B R',2025-01-20 12:42:12 +0000
120,19.25506806373596,,F' D2 B2 U2 L2 B F' L2 R' F L2 D2 U' R' D L B2 L F',2025-01-20 12:44:12 +0000
154,22.365052938461304,,R2 D U2 R2 U B2 F2 D L' D2 L' B' L' D' U' B L' F2,2025-01-20 12:47:03 +0000
190,25.40005600452423,,B' L2 B' F2 L2 U2 B D2 B2 D' B L U' B2 L2 U2 L F' U,2025-01-20 12:47:55 +0000
229,27.0382159948349,,U2 F U' D2 R' B2 D2 B2 U2 F2 R' B' L' F U' B L' F D,2025-01-20 12:58:19 +0000
265,21.76899790763855,,U' B D2 R2 U2 D' L F2 U R' F' R2 L2 U' R2 U B2 D,2025-01-20 13:00:31 +0000
